@relation 'ant-1.6-weka.filters.unsupervised.attribute.Remove-R7-10,12-20'

@attribute $wmc numeric
@attribute $dit numeric
@attribute $noc numeric
@attribute $cbo numeric
@attribute $rfc numeric
@attribute $lcom numeric
@attribute $loc numeric
@attribute $<bug {no-bug,bug}

@data
3,1,0,3,19,0,104,no-bug
3,5,0,6,14,3,52,no-bug
10,1,0,15,39,19,344,no-bug
24,3,0,17,118,72,1066,bug
12,1,0,3,22,44,156,no-bug
19,3,0,10,61,135,504,no-bug
2,3,0,3,7,1,23,no-bug
3,2,0,4,6,0,30,no-bug
23,4,2,22,77,149,1164,no-bug
12,3,0,11,38,2,224,bug
7,1,0,2,8,0,1082,no-bug
20,4,0,13,97,116,895,bug
9,1,0,8,23,0,148,no-bug
3,2,0,5,7,1,29,no-bug
30,1,0,31,65,303,634,bug
3,6,0,7,11,3,37,no-bug
30,3,0,15,109,395,929,no-bug
8,5,0,9,29,0,187,no-bug
9,2,0,17,73,14,432,bug
23,3,0,15,88,201,541,no-bug
1,1,0,16,1,0,1,no-bug
30,3,0,51,102,301,1238,no-bug
8,5,0,6,26,0,172,no-bug
3,3,0,3,10,0,32,no-bug
6,1,0,1,8,0,43,no-bug
3,2,0,9,28,3,155,bug
13,5,0,11,34,68,199,no-bug
8,5,0,10,23,0,198,no-bug
6,5,0,9,22,0,105,no-bug
3,4,0,4,21,3,144,no-bug
5,3,0,5,15,4,90,no-bug
3,1,0,3,3,3,3,no-bug
2,3,0,0,3,1,7,no-bug
3,1,0,3,17,0,204,no-bug
22,5,1,17,73,151,618,bug
1,1,0,8,1,0,1,no-bug
4,2,0,6,14,2,68,no-bug
3,4,0,5,25,3,191,no-bug
18,1,2,23,68,151,413,bug
8,3,0,2,39,10,308,no-bug
20,1,0,3,50,74,721,bug
35,1,0,12,79,333,487,bug
10,5,0,6,30,0,328,no-bug
4,4,0,4,13,0,87,no-bug
53,1,1,37,119,1112,1739,bug
15,1,2,8,23,67,170,bug
7,1,1,5,8,3,47,no-bug
10,6,0,10,33,35,165,no-bug
17,4,0,15,62,78,416,no-bug
8,4,0,7,39,4,277,no-bug
5,3,0,8,41,0,230,no-bug
19,5,0,14,45,25,458,bug
17,1,0,4,58,130,630,bug
4,1,0,4,5,0,24,no-bug
4,1,0,1,13,6,45,no-bug
2,3,0,4,15,1,59,no-bug
50,3,2,55,123,919,918,bug
8,3,0,15,77,6,585,bug
42,3,11,39,96,0,328,no-bug
