@relation Version236

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {no-bug,bug}

@data
2,3,1,5,4,1,1,4,2,2,10,0,0,0.952381,0.666667,1,1,4,1,0.5,no-bug
3,2,0,14,36,1,0,14,2,1,167,0.333333,0,0.933333,0.75,0,0,52.666667,5,1.6667,no-bug
5,6,0,9,14,8,0,9,1,1,46,0,0,0.903226,0.5,3,5,7.6,1,0.6,no-bug
2,4,0,17,15,1,0,17,2,2,71,0,0,0.888889,0.666667,2,2,34.5,1,0.5,no-bug
2,3,0,13,14,1,0,13,2,2,51,0,0,0.857143,0.666667,1,1,24.5,2,1,no-bug
7,3,0,9,18,17,0,9,5,0.958333,88,0,0,0.8,0.611111,2,3,11,2,0.8571,no-bug
5,5,0,6,12,4,0,6,1,0.916667,46,0,0,0.888889,0.666667,2,3,7.6,1,0.6,no-bug
2,3,0,7,8,1,0,7,2,2,22,0,0,0.857143,0.625,1,1,10,1,0.5,no-bug
9,5,0,23,35,24,0,23,4,0.916667,149,0,0,0.774194,0.425,3,4,15.222222,3,1,no-bug
2,3,0,13,10,1,0,13,2,2,30,0,0,0.857143,0.6,1,1,14,3,1.5,no-bug
2,4,0,17,19,1,0,17,2,2,169,0,0,0.888889,0.666667,2,2,83.5,1,0.5,no-bug
1,1,0,1,5,0,0,1,0,2,67,0,0,0,0,0,0,12,0,0,no-bug
1,1,0,0,5,0,0,0,0,2,17,0,0,0,0,0,0,12,0,0,no-bug
0,1,0,0,0,0,0,0,0,2,198,0,0,0,0,0,0,0,0,0,no-bug
3,1,0,7,22,3,0,7,3,1.25,94,0,0,0,0.666667,0,0,29.666667,2,1,no-bug
1,1,0,1,5,0,0,1,0,2,20,0,0,0,0,0,0,12,0,0,no-bug
2,1,0,14,33,1,0,14,2,1.75,235,0,0,0,0.625,0,0,114.5,18,9,no-bug
