"tp","fn","fp","tn","prec","pd","gmean","accuracy","Error_rate","toString.confirmed."
3654,452,92,57,0.97544046983449,0.889917194349732,0.583470754475682,0.872150411280846,0.127849588719154,"~, bug, wmc + dit + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
3337,250,363,103,0.901891891891892,0.930303875104544,0.453459044944042,0.848754009375771,0.151245990624229,"~, bug, wmc + dit + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
3830,401,287,102,0.930289045421423,0.905223351453557,0.487195378026984,0.851082251082251,0.148917748917749,"~, bug, wmc + dit + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + moa + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
1979,150,781,167,0.717028985507246,0.929544387036167,0.404658934153873,0.697432564185895,0.302567435814105,"~, bug, wmc + dit + noc + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + moa + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
2097,191,996,273,0.677982541222114,0.916520979020979,0.444039615219122,0.666291818948552,0.333708181051448,"~, bug, wmc + dit + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
660,1913,76,349,0.896739130434783,0.256509910610183,0.458955229914393,0.336557705136758,0.663442294863242,"~, bug, wmc + dit + noc + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
3107,200,155,65,0.952483139178418,0.939522225582099,0.526864415294677,0.899347887723278,0.100652112276722,"~, bug, wmc + dit + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + moa + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
1872,257,213,154,0.897841726618705,0.879286049788633,0.607424660711036,0.811698717948718,0.188301282051282,"~, bug, wmc + dit + noc + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
2908,230,233,86,0.925819802610634,0.926704907584449,0.499832643001863,0.866068845820075,0.133931154179925,"~, bug, wmc + dit + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
2235,322,144,124,0.939470365699874,0.874071177160735,0.635941029040943,0.835044247787611,0.164955752212389,"~, bug, wmc + dit + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + moa + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
3256,257,61,24,0.981609888453422,0.926843153999431,0.511563183332241,0.911617565314063,0.0883824346859367,"~, bug, wmc + dit + noc + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + moa + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
1595,68,128,19,0.925710969239698,0.959110042092604,0.352088915020051,0.89171270718232,0.10828729281768,"~, bug, wmc + dit + cbo + rfc + lcom + ca + ce + npm + lcom3 + loc + dam + mfa + cam + ic + cbm + amc + max_cc + avg_cc"
