"tp","fn","fp","tn","prec","pd","fmeasure","gmean","accuracy","Error_rate"
3674,432,96,53,0.974535809018568,0.894788114953726,0.932960893854749,0.564163394941212,0.875910693301998,0.124089306698002
3348,239,375,91,0.899274778404513,0.933370504599944,0.916005471956224,0.426928132976264,0.848507278559092,0.151492721440908
3794,437,285,104,0.930129933807306,0.896714724651383,0.913116726835138,0.489631127521425,0.843722943722944,0.156277056277056
1979,150,781,167,0.717028985507246,0.929544387036167,0.809572509715688,0.404658934153873,0.697432564185895,0.302567435814105
2097,191,984,285,0.68062317429406,0.916520979020979,0.781151052337493,0.453693778813188,0.669665448411583,0.330334551588417
694,1879,74,351,0.903645833333333,0.269724057520404,0.415444477701287,0.47197493500163,0.348565710473649,0.651434289526351
3107,200,155,65,0.952483139178418,0.939522225582099,0.945958288932866,0.526864415294677,0.899347887723278,0.100652112276722
1872,257,223,144,0.893556085918854,0.879286049788633,0.886363636363636,0.587372088619533,0.807692307692308,0.192307692307692
2917,221,234,85,0.925737860996509,0.929572976418101,0.927651454921291,0.49768650666879,0.868382991032687,0.131617008967313
2239,318,145,123,0.939177852348993,0.875635510363707,0.906294272414491,0.633938081910825,0.836106194690265,0.163893805309735
3256,257,61,24,0.981609888453422,0.926843153999431,0.953440702781845,0.511563183332241,0.911617565314063,0.0883824346859367
1580,83,125,22,0.926686217008798,0.95009019843656,0.938242280285036,0.377081383568644,0.885082872928177,0.114917127071823
1890,265,42,34,0.978260869565217,0.877030162412993,0.924883777832151,0.626382949140726,0.862393545495294,0.137606454504706
1720,139,81,22,0.955024986118823,0.92522861753631,0.939890710382514,0.444546562762627,0.887869520897044,0.112130479102956
1276,63,559,66,0.695367847411444,0.952949962658701,0.804032766225583,0.317224709089249,0.683299389002037,0.316700610997963
1387,691,88,141,0.940338983050848,0.667468719923003,0.780748663101604,0.641072686983512,0.662332032943216,0.337667967056784
1416,101,130,47,0.915912031047865,0.933421226104153,0.924583741429971,0.497853004119963,0.863636363636364,0.136363636363636
1911,165,143,66,0.930379746835443,0.920520231213873,0.925423728813559,0.539157304810662,0.865207877461707,0.134792122538293
2071,184,52,37,0.975506358926048,0.91840354767184,0.946094106898127,0.61790631688618,0.899317406143345,0.100682593856655
1852,178,283,82,0.867447306791569,0.912315270935961,0.889315726290516,0.452723424646847,0.807515657620042,0.192484342379958
2593,116,134,28,0.950861752841951,0.957179771133259,0.954010301692421,0.406741292422228,0.91292232671543,0.0870776732845698
1834,33,858,66,0.681277860326895,0.982324584895554,0.804562404035973,0.264888734713755,0.680759584378359,0.319240415621641
2361,280,156,57,0.938021454112038,0.893979553199546,0.915471112834432,0.489115492435808,0.847231955150666,0.152768044849334
198,25,27,6,0.88,0.887892376681614,0.883928571428572,0.401789718109455,0.796875,0.203125
50,122,2,18,0.961538461538462,0.290697674418605,0.446428571428571,0.511495754602855,0.354166666666667,0.645833333333333
77,122,6,7,0.927710843373494,0.386934673366834,0.546099290780142,0.456453107673963,0.39622641509434,0.60377358490566
