"tp","fn","fp","tn","prec","pd","gmean","accuracy","Error_rate"
3983,123,116,33,0.971700414735301,0.970043838285436,0.463510435605895,0.943830787309048,0.0561692126909519
3447,140,399,67,0.896255850234009,0.960970170058545,0.37170585015944,0.867012089810017,0.132987910189983
3913,318,325,64,0.923312883435583,0.924840463247459,0.390075431528773,0.860822510822511,0.139177489177489
2070,59,846,102,0.709876543209877,0.972287458900892,0.323439650635572,0.705882352941177,0.294117647058823
2184,104,1146,123,0.655855855855856,0.954545454545455,0.304172573094751,0.648580264267641,0.351419735732359
148,2425,29,396,0.836158192090395,0.0575204041974349,0.23150698153459,0.181454302868579,0.818545697131421
3185,122,173,47,0.948481238832638,0.96310855760508,0.453602259731819,0.916359512333428,0.0836404876665722
2020,109,268,99,0.882867132867133,0.948802254579615,0.505909015964613,0.848958333333333,0.151041666666667
3017,121,259,60,0.920940170940171,0.961440407903123,0.425247206268846,0.890078102400926,0.109921897599074
2339,218,170,98,0.932243921881228,0.914743840438013,0.578356189515781,0.862654867256637,0.137345132743363
3382,131,71,14,0.979438169707501,0.962709934528893,0.398200940752936,0.943857698721512,0.0561423012784881
1607,56,133,14,0.923563218390805,0.966325917017438,0.303366180903453,0.895580110497238,0.104419889502762
1979,176,53,23,0.973917322834646,0.918329466357309,0.527176911859393,0.897355445988346,0.102644554011654
1787,72,77,26,0.958690987124464,0.961269499731038,0.492595730117675,0.924057084607543,0.0759429153924567
1297,42,583,42,0.689893617021277,0.968633308439134,0.255131649011074,0.681771894093686,0.318228105906314
686,1392,41,188,0.943603851444292,0.330125120307988,0.520595571843588,0.378846987429562,0.621153012570438
1429,88,130,47,0.916613213598461,0.941990771259064,0.500133124928465,0.871310507674144,0.128689492325856
1949,127,145,64,0.930754536771729,0.938824662813102,0.536178121603548,0.880962800875274,0.119037199124726
2117,138,59,30,0.972886029411765,0.93880266075388,0.562539185377852,0.915955631399317,0.0840443686006825
1963,67,320,45,0.859833552343408,0.966995073891626,0.34528042335725,0.838413361169102,0.161586638830898
2626,83,141,21,0.949042284062161,0.969361387966039,0.354482662057401,0.921978404737025,0.0780215952629746
1841,26,875,49,0.677835051546392,0.986073915372255,0.228674000582637,0.67717663919742,0.32282336080258
2446,195,147,66,0.943308908600077,0.926164331692541,0.535705606788064,0.880168185003504,0.119831814996496
201,22,24,9,0.893333333333333,0.901345291479821,0.495803835332947,0.8203125,0.1796875
6,166,0,20,1,0.0348837209302326,0.186771841909407,0.135416666666667,0.864583333333333
11,188,0,13,1,0.0552763819095477,0.235109297794766,0.113207547169811,0.886792452830189
