"tp","fn","fp","tn","prec","pd","gmean","accuracy","Error_rate"
4006,100,120,29,0.970916141541444,0.975645396980029,0.435764517656569,0.948296122209166,0.0517038777908343
3511,76,425,41,0.892022357723577,0.978812378031781,0.293459853507804,0.876387860843819,0.123612139156181
4083,148,336,53,0.923964697895451,0.965020089813283,0.362602931969339,0.895238095238095,0.104761904761905
2096,33,876,72,0.705248990578735,0.984499765147957,0.273444937897687,0.704582385440364,0.295417614559636
2197,91,1156,113,0.655234118699672,0.960227272727273,0.292412160159469,0.649423671633399,0.350576328366601
82,2491,23,402,0.780952380952381,0.0318694131364166,0.17362233578756,0.161440960640427,0.838559039359573
3212,95,177,43,0.947772204190027,0.971273057151497,0.435706017743378,0.922880635100652,0.0771193648993479
2075,54,303,64,0.872582001682086,0.97463597933302,0.412266621876081,0.856971153846154,0.143028846153846
3036,102,267,52,0.919164396003633,0.967495219885277,0.397128215495232,0.893260052068267,0.106739947931733
2420,137,196,72,0.925076452599388,0.946421587798201,0.504244500341739,0.88212389380531,0.11787610619469
3408,105,75,10,0.978466838931955,0.970111016225448,0.337832366405632,0.949972206781545,0.0500277932184547
1645,18,140,7,0.92156862745098,0.989176187612748,0.217033702409463,0.912707182320442,0.087292817679558
2025,130,59,17,0.97168905950096,0.939675174013921,0.458465374320114,0.915284625728373,0.0847153742716271
1830,29,93,10,0.951638065522621,0.984400215169446,0.309148566912768,0.937818552497452,0.0621814475025484
1307,32,592,33,0.688256977356503,0.976101568334578,0.227020181499499,0.682281059063136,0.317718940936864
1937,141,164,65,0.921941932413137,0.932146294513956,0.514376330481736,0.867793671434764,0.132206328565236
1473,44,144,33,0.910946196660482,0.970995385629532,0.425479773900859,0.889020070838253,0.110979929161747
2020,56,167,42,0.923639689071788,0.973025048169557,0.442194678938949,0.902407002188184,0.0975929978118162
2189,66,67,22,0.970301418439716,0.970731707317073,0.48985319471298,0.943259385665529,0.056740614334471
1992,38,336,29,0.855670103092783,0.98128078817734,0.27922173080023,0.84384133611691,0.15615866388309
2661,48,145,17,0.948325017818959,0.982281284606866,0.32105902920884,0.932776036224312,0.067223963775688
1847,20,879,45,0.677549523110785,0.989287627209427,0.219498501667381,0.677893228233608,0.322106771766392
2462,179,152,61,0.941851568477429,0.932222642938281,0.516695809654693,0.884022424667134,0.115977575332866
222,1,30,3,0.880952380952381,0.995515695067265,0.300834550582703,0.87890625,0.12109375
155,17,12,8,0.92814371257485,0.901162790697674,0.600387471787237,0.848958333333333,0.151041666666667
182,17,8,5,0.957894736842105,0.914572864321608,0.593092567791782,0.882075471698113,0.117924528301887
