wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
4,3,0,11,12,0,3,8,4,0.333333333,98,1,1,0.8125,0.5,0,0,23,1,0.75,bug
0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,no-bug
2,2,0,3,4,1,0,3,2,2,10,0,0,0.941176471,0.666666667,1,1,4,1,0.5,no-bug
55,3,10,72,218,1263,23,57,22,0.980676329,1555,0.217391304,2,0.442105263,0.160493827,1,5,26.85454545,25,2.2727,bug
2,1,0,10,25,0,1,9,2,1,88,1,0,0,0.666666667,0,0,42,5,2.5,no-bug
5,2,0,10,15,8,2,9,4,0.75,43,1,1,0.875,0.366666667,1,1,7.4,2,1,no-bug
16,4,0,17,62,36,1,17,14,0.8,694,0.5,0,0.879310345,0.4,2,3,42.25,11,2.375,no-bug
17,4,2,29,60,118,3,27,4,0.984375,362,0.375,0,0.855855856,0.182352941,2,4,19.82352941,7,1.8824,bug
2,1,0,23,40,1,0,23,2,2,144,0,0,0,0.666666667,0,0,71,7,3.5,bug
8,1,0,3,21,18,2,1,8,0.988095238,152,0.416666667,0,0,0.375,0,0,16.5,3,1.375,no-bug
4,3,0,9,16,6,0,9,3,2,46,0,0,0.966666667,0.4375,1,1,10.5,1,0.75,no-bug
2,3,0,7,14,1,0,7,1,2,74,1,0,0.933333333,0.75,1,1,35.5,7,3.5,no-bug
70,1,0,198,240,2359,125,74,68,1.004016064,1839,0.084337349,0,0,0.067391304,0,0,24.08571429,11,2.5429,bug
7,1,0,4,38,0,3,1,5,0.583333333,250,0.5,0,0,0.25,0,0,34.42857143,5,1.4286,no-bug
4,3,0,12,18,0,3,9,4,0.740740741,143,0.555555556,0,0.866666667,0.5,0,0,32.5,2,0.75,no-bug
1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,no-bug
2,1,0,3,5,1,1,2,2,2,51,0,0,0,0.75,0,0,24.5,9,4.5,bug
2,3,0,10,18,1,0,10,1,2,107,1,0,0.933333333,0.75,2,2,52,11,5.5,no-bug
4,1,0,7,18,6,2,5,1,2,66,0,0,0,0.416666667,0,0,15.5,2,1.5,bug
3,4,0,4,13,3,0,4,1,1.5,58,1,0,0.894736842,0.555555556,1,1,18,4,2.3333,no-bug
3,1,0,4,11,3,1,3,2,1,73,0,0,0,0.333333333,0,0,22.33333333,3,1.6667,no-bug
34,1,0,26,111,105,4,22,3,1.005627706,2101,0.057142857,0,0,0.323232323,0,0,58.73529412,14,2.1176,bug
5,1,0,1,12,2,1,0,5,0.625,46,1,0,0,0.7,0,0,7.8,3,1.2,no-bug
3,1,0,11,20,3,0,11,3,1,50,0,0,0,0.777777778,0,0,15.33333333,2,1,no-bug
7,6,0,4,17,11,1,3,6,0.75,99,1,0,0.99244713,0.333333333,3,7,12.28571429,3,1.4286,bug
3,1,0,7,12,3,0,7,3,2,29,0,0,0,0.777777778,0,0,8.666666667,1,0.6667,no-bug
2,3,0,8,20,1,0,8,1,2,117,1,0,0.933333333,0.75,1,1,57,13,6.5,no-bug
2,1,0,14,40,1,0,14,2,2,156,0,0,0,0.666666667,0,0,77,13,6.5,no-bug
6,3,0,9,26,3,0,9,6,0.7,121,1,0,0.886363636,0.333333333,2,6,18.83333333,8,2.3333,no-bug
2,2,0,2,3,1,1,1,1,2,7,0,0,0.928571429,1,1,2,2.5,1,0.5,no-bug
30,1,0,10,82,377,2,8,24,0.931034483,454,0.857142857,0,0,0.145320197,0,0,13.9,4,1.1,bug
0,1,0,0,0,0,0,0,0,2,59,0,0,0,0,0,0,0,0,0,no-bug
4,3,0,7,8,4,0,7,1,0.666666667,24,1,1,0.967741935,0.5,1,2,4.75,1,0.75,no-bug
7,1,0,3,8,15,3,0,7,0.833333333,34,1,0,0,0.714285714,0,0,3.428571429,1,0.8571,no-bug
10,3,0,11,52,25,1,11,7,0.965811966,491,1,0,0.823529412,0.65,1,2,46.8,9,1.8,bug
17,5,0,18,46,102,2,16,11,0.875,212,0.5,1,0.897959184,0.275,3,12,11.23529412,5,1.1765,no-bug
2,3,0,1,7,1,0,1,1,2,42,1,0,0.98,0.666666667,0,0,19.5,1,0.5,no-bug
9,4,1,9,22,22,2,7,5,0.930555556,129,0.444444444,1,0.931372549,0.375,1,2,12.33333333,3,1,no-bug
2,2,0,6,13,1,0,6,2,2,58,0,0,0.75,0.666666667,1,1,28,5,2.5,no-bug
2,4,0,7,8,1,1,6,1,1,32,0,0,0.941176471,0.75,1,1,14.5,2,1,no-bug
2,1,0,1,5,1,0,1,2,2,45,0,0,0,0.75,0,0,21.5,9,4.5,no-bug
2,3,0,6,9,1,0,6,1,2,31,1,0,0.933333333,0.75,1,1,14,5,2.5,no-bug
0,1,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,bug
8,5,0,21,77,20,6,20,1,0.912087912,516,0.846153846,0,0.934579439,0.5,2,3,61.875,7,2.5,bug
11,5,2,6,15,0,5,1,11,0.1,97,1,0,0.888888889,0.581818182,1,1,7.727272727,1,0.2727,no-bug
10,3,1,9,29,17,1,8,7,0.873015873,216,0.857142857,0,0.8125,0.32,2,6,19.9,6,2,no-bug
4,1,0,13,9,6,9,4,3,1,43,1,0,0,0.25,0,0,9,2,1.5,no-bug
1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,no-bug
1,1,0,64,1,0,62,2,1,2,1,0,0,0,1,0,0,0,1,1,no-bug
3,4,0,6,7,3,0,6,2,2,17,0,0,0.974683544,1,1,1,4.666666667,1,0.6667,no-bug
18,1,0,31,73,0,22,9,11,0.623529412,615,0.8,0,0,0.134453782,0,0,32.88888889,6,2.4444,no-bug
2,2,0,4,4,1,0,4,1,2,12,0,0,0.75,0.75,1,1,5,1,0.5,no-bug
5,5,0,16,31,4,1,15,4,0.75,94,0,0,0.970588235,0.314285714,2,7,17.4,6,2,bug
3,3,0,13,28,1,0,13,1,1,128,0.666666667,0,0.933333333,0.75,1,1,40.66666667,6,2,no-bug
