F1,Baselines
0.794223827,All
0.487394958,All
0.801635992,All
0.8676345,All
0.784968685,All
0.866206897,All
0.853566959,All
0.861386139,All
0.923076923,All
0.834061135,All
0.867075665,All
0.903225806,All
0.93565976,All
0.881578947,All
0.171779141,All
0.62633452,All
0.630727763,All
0.852207294,All
0.530612245,All
0.574757282,All
0.716845878,All
0.798882682,All
0.130434783,All
0.766871166,All
0.686868687,All
0.714648603,All
0.03268945,All
0.858681023,All
0.901265823,All
0.452599388,All
0.932960894,All
0.916005472,All
0.913116727,All
0.80957251,All
0.781151052,All
0.415444478,All
0.945958289,All
0.886363636,All
0.927651455,All
0.906294272,All
0.953440703,All
0.93824228,All
0.924883778,All
0.93989071,All
0.804032766,All
0.780748663,All
0.924583741,All
0.925423729,All
0.946094107,All
0.889315726,All
0.954010302,All
0.804562404,All
0.915471113,All
0.883928571,All
0.446428571,All
0.546099291,All
0.830449827,Boruta
0.454022989,Boruta
0.852830189,Boruta
0.873621713,Boruta
0.785935884,Boruta
0.871830021,Boruta
0.852336449,Boruta
0.878640777,Boruta
0.92845787,Boruta
0.829694323,Boruta
0.87250996,Boruta
0.904761905,Boruta
0.945887446,Boruta
0.875816993,Boruta
0.176100629,Boruta
0.613718412,Boruta
0.64,Boruta
0.813492063,Boruta
0.533604888,Boruta
0.617710583,Boruta
0.850574713,Boruta
0.803370787,Boruta
0.129032258,Boruta
0.778816199,Boruta
0.686238532,Boruta
0.714527027,Boruta
0.03268945,Boruta
0.849389417,Boruta
0.896464646,Boruta
0.452599388,Boruta
0.930718288,Boruta
0.91587759,Boruta
0.91758505,Boruta
0.80957251,Boruta
0.779409032,Boruta
0.398912058,Boruta
0.945958289,Boruta
0.888467015,Boruta
0.926262144,Boruta
0.905591572,Boruta
0.953440703,Boruta
0.942114589,Boruta
0.925409636,Boruta
0.952509444,Boruta
0.804423381,Boruta
0.720401535,Boruta
0.924232528,Boruta
0.926723096,Boruta
0.952813067,Boruta
0.911374738,Boruta
0.955787929,Boruta
0.805445762,Boruta
0.900808519,Boruta
0.871559633,Boruta
0.889570552,Boruta
0.892473118,Boruta
0.821052632,Cfs
0.890688259,Cfs
0.861818182,Cfs
0.877966102,Cfs
0.781376518,Cfs
0.853889943,Cfs
0.876580373,Cfs
0.866995074,Cfs
0.942635659,Cfs
0.838709677,Cfs
0.881287726,Cfs
0.9152,Cfs
0.94600432,Cfs
0.864516129,Cfs
0.173913043,Cfs
0.495238095,Cfs
0.454873646,Cfs
0.265625,Cfs
0.165467626,Cfs
0.735042735,Cfs
0.848137536,Cfs
0.792553191,Cfs
0.740298507,Cfs
0.492957746,Cfs
0.314516129,Cfs
0.364640884,Cfs
0.409211692,Cfs
0.865229111,Cfs
0.909765142,Cfs
0.460829493,Cfs
0.943026034,Cfs
0.924678837,Cfs
0.939347902,Cfs
0.827503975,Cfs
0.827503975,Cfs
0.868946432,Cfs
0.951992754,Cfs
0.918408631,Cfs
0.925411276,Cfs
0.922894425,Cfs
0.951459158,Cfs
0.948078615,Cfs
0.932268989,Cfs
0.965975545,Cfs
0.803520905,Cfs
0.847102019,Cfs
0.928873011,Cfs
0.939437291,Cfs
0.955142728,Cfs
0.915222915,Cfs
0.953150836,Cfs
0.807395994,Cfs
0.913786408,Cfs
0.869565217,Cfs
0.910179641,Cfs
0.907216495,Cfs
0.179104478,ckloc
0.179104478,ckloc
0.492957746,ckloc
0.453846154,ckloc
0.790937178,ckloc
0.887550201,ckloc
0.880579011,ckloc
0.880579011,ckloc
0.927899687,ckloc
0.827731092,ckloc
0.868217054,ckloc
0.923547401,ckloc
0.960596379,ckloc
0.87012987,ckloc
0.176470588,ckloc
0.621621622,ckloc
0.62745098,ckloc
0.893772894,ckloc
0.535496957,ckloc
0.553113553,ckloc
0.368159204,ckloc
0.811518325,ckloc
0.108695652,ckloc
0.76744186,ckloc
0.108695652,ckloc
0.76744186,ckloc
0.030136986,ckloc
0.860589812,ckloc
0.894206549,ckloc
0.425655977,ckloc
0.97087142,ckloc
0.927485537,ckloc
0.924076042,ckloc
0.82061447,ckloc
0.77750089,ckloc
0.107636364,ckloc
0.955738935,ckloc
0.914647951,ckloc
0.940754599,ckloc
0.923410975,ckloc
0.97100201,ckloc
0.94446077,ckloc
0.945306902,ckloc
0.959978512,ckloc
0.805840323,ckloc
0.48912656,ckloc
0.929128739,ckloc
0.934772182,ckloc
0.95554051,ckloc
0.910271273,ckloc
0.959094229,ckloc
0.803403884,ckloc
0.934658005,ckloc
0.897321429,ckloc
0.06741573,ckloc
0.104761905,ckloc
0.522742475,cll
0.558746736,cll
0.48993289,cll
0.682352941,cll
0.784989858,cll
0.890932983,cll
0.883748517,cll
0.873170732,cll
0.938271605,cll
0.85380117,cll
0.864244742,cll
0.920972644,cll
0.962884411,cll
0.827160494,cll
